split,rep,comparison,model_a,model_b,metric,value
validation,6,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.010776968079647009
validation,6,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.003356913895993796
validation,6,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,-0.0015363531590640855
validation,6,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.009032125628656407
validation,6,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,-0.0006325417424030699
validation,7,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.0070333240446129874
validation,7,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.012699713232281917
validation,7,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.0037424518489150016
validation,7,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,-0.0005738377321078403
validation,7,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.0013314215485455971
validation,7,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,0.00018741122617585426
validation,8,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.008780262208152756
validation,8,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.012676344305867948
validation,8,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.004342972861377775
validation,8,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.0004992338432017185
validation,8,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.0
validation,8,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,0.00019910326854247207
validation,9,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.0073296448032972306
validation,9,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.007979539641943756
validation,9,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.0037322752291139294
validation,9,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.0013854801266203198
validation,9,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.0018414322250638326
validation,9,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,0.0006814574628371262
validation,10,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.00814662594204274
validation,10,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.00950531479967287
validation,10,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.0037264360972738275
validation,10,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,-0.00020458440803605704
validation,10,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.005110384300899495
validation,10,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,-0.00028012479718164673
validation,11,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.006012000142245344
validation,11,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.007789580171977728
validation,11,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.003038899949872137
validation,11,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,8.126204230485268e-05
validation,11,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.008902377339403245
validation,11,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,-0.0003836904708615918
validation,12,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.007302230456348369
validation,12,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.002458260780497823
validation,12,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.0034891275782938103
validation,12,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.0010452467603234705
validation,12,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.0058383693536822046
validation,12,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,0.0002769004380759055
validation,13,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.007727780670277462
validation,13,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.006811019619802794
validation,13,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.004071126395398056
validation,13,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.0004081688784083326
validation,13,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.009962386906577136
validation,13,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,-8.881704598384665e-05
validation,14,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.006822863451670935
validation,14,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.0074989866234292935
validation,14,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.0033800512991814247
validation,14,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,-0.0005848958225190826
validation,14,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.004053506282934771
validation,14,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,-0.00027116890200618027
validation,15,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.007382046045013135
validation,15,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.011406844106463865
validation,15,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.0036673566431290883
validation,15,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,-0.00046379132536589207
validation,15,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.006268626040489167
validation,15,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,-0.00022611723376411708
validation,16,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.0056681623431315
validation,16,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.00861282804742125
validation,16,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.003373909179092832
validation,16,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,-0.0019386493001414262
validation,16,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.010132738879319092
validation,16,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,-0.0005463657403899647
validation,17,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.008413718627408473
validation,17,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.007946210268948706
validation,17,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.004119522046048429
validation,17,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.0013586107594115715
validation,17,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.005908720456397676
validation,17,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,0.0005179699996974985
validation,18,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.00989288627918583
validation,18,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.0073118716360313085
validation,18,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.004720429545429644
validation,18,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.0027783630610132004
validation,18,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.008632070681425796
validation,18,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,0.0011105365587327498
validation,19,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.0072619961740651995
validation,19,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.007195723684210509
validation,19,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.003436699304149249
validation,19,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.000724718637110211
validation,19,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.006990131578947345
validation,19,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,0.00019661190767905623
validation,20,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.006739013205654176
validation,20,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.009916017403622357
validation,20,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.0036554921549497577
validation,20,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,-0.0013016290832251753
validation,20,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.004350905595467025
validation,20,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,-0.00046577407936848614
validation,21,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.009205241151399646
validation,21,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.011986997155627788
validation,21,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.004342220673862696
validation,21,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,-0.00030752347511653344
validation,21,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.005079236082893179
validation,21,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,-0.0003957804897804784
validation,22,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.006627487316944736
validation,22,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.010037513940991616
validation,22,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.003303584392261416
validation,22,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,-0.0006344541654487168
validation,22,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.0018250025347257282
validation,22,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,-0.0003897431893379044
validation,23,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.009600808243531267
validation,23,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.010265270860859932
validation,23,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.004613613319651322
validation,23,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.0015058844604437516
validation,23,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.00030490903547097936
validation,23,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,0.000593988906006232
validation,24,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.008141949249244496
validation,24,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.010769074469165862
validation,24,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.004024339203856836
validation,24,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.00010557778699260556
validation,24,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.004165396728639692
validation,24,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,0.0002006482667256948
validation,25,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.006894932493723527
validation,25,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.010092771944132939
validation,25,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.003459447277605693
validation,25,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,-0.0007391003018386577
validation,25,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.00428178203690488
validation,25,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,-0.0002634857458815032
validation,26,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.008928305570943929
validation,26,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.009419473738097706
validation,26,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.004196641967004727
validation,26,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.000968302810266608
validation,26,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.006552677383024452
validation,26,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,0.00030113176598603464
validation,27,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.006057605767653906
validation,27,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.00799757035837212
validation,27,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.0031757818780158154
validation,27,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,-0.0019364757115475362
validation,27,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.010123506782749536
validation,27,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,-0.0007677547662479356
validation,28,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.007895160399972512
validation,28,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.00875228984327292
validation,28,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.003709976352276545
validation,28,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,-0.000302353293694102
validation,28,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.007123956849175661
validation,28,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,-0.00010297797900071792
validation,29,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.00725465538975556
validation,29,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.007588021044111715
validation,29,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.003556010887444505
validation,29,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,-0.00022285699149227067
validation,29,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.008397409955483659
validation,29,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,-0.00011358703252953295
validation,30,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.00788536536067741
validation,30,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.010659014041201176
validation,30,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.004222816959934733
validation,30,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.0010930461049030171
validation,30,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.006046940657989164
validation,30,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,0.0005460036293085113
validation,31,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.011710169964744721
validation,31,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.011031664964249233
validation,31,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.0053350474003807935
validation,31,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.001921383680403288
validation,31,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.004698672114402447
validation,31,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,0.0007564246917459161
validation,32,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.008435534276663104
validation,32,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.008453860256671386
validation,32,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.0041038133779821295
validation,32,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.0019492943418670805
validation,32,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.0022407822367080943
validation,32,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,0.0010235999065662527
validation,33,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.00780882515787118
validation,33,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.009286661904275961
validation,33,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.004093514865511461
validation,33,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.001275297777328488
validation,33,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.003061536891519556
validation,33,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,0.0006754157226838142
validation,34,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.006768243456169887
validation,34,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.009975570032573211
validation,34,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.0034350788587206305
validation,34,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,-0.0019064008243538932
validation,34,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.007837947882736174
validation,34,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,-0.0006101023085232915
validation,35,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.006984650812504545
validation,35,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.009482055464926642
validation,35,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.003255224419086211
validation,35,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.0011202633181938149
validation,35,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.006321370309951058
validation,35,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,0.0002529831039629893
validation,36,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.007899788921260087
validation,36,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.010429447852760787
validation,36,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.004224265472277333
validation,36,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,-0.0017098587555290923
validation,36,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.006134969325153339
validation,36,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,-0.00018120993407566566
validation,37,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.008636541446479407
validation,37,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.009851716433069369
validation,37,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.004028354598876155
validation,37,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.0008888463872387398
validation,37,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.0034531789559211212
validation,37,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,0.0004024154229380905
validation,38,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.00811795013530392
validation,38,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.011511817440912786
validation,38,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.00422583812381172
validation,38,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,-0.000656077976198266
validation,38,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.0063162184189079484
validation,38,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,-0.0001982773729235776
validation,39,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.008441911457778284
validation,39,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.007132667617689048
validation,39,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.0038353022028095873
validation,39,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.0019831697905617895
validation,39,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.005909924597513716
validation,39,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,0.0006761056133642585
validation,40,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.008889208031132578
validation,40,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.011170914999492298
validation,40,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.004225769045007627
validation,40,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.0010134641012274903
validation,40,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.008632070681425796
validation,40,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,0.0002832101661421893
validation,41,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.008987795529898701
validation,41,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.007790077900778902
validation,41,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.004304285701960203
validation,41,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.0005339499994615471
validation,41,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.008405084050840617
validation,41,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,-0.0001259417928661244
validation,42,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.009109083804473617
validation,42,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.008002431118314446
validation,42,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.004367523934078049
validation,42,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.0010271328609305908
validation,42,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.006077795786061602
validation,42,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,0.0004088260419088663
validation,43,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.00904409019270691
validation,43,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.009684983178713469
validation,43,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.004441913377044027
validation,43,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.0027187216055097885
validation,43,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.005810989907228059
validation,43,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,0.0008629755690736651
validation,44,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.006461650945891573
validation,44,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.010473313192346456
validation,44,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.0033656783442945204
validation,44,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,-0.0015966735802512844
validation,44,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.0071500503524672965
validation,44,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,-0.0004382310531082234
validation,45,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.006882064607631078
validation,45,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.00801217038539559
validation,45,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.00353759277321547
validation,45,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,-0.0018279928312645577
validation,45,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.008012170385395478
validation,45,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,-0.0006239818841625167
validation,46,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.008635909402128661
validation,46,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.009504343382728653
validation,46,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.0041060849674424416
validation,46,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.00014765678191219767
validation,46,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.00367910066428212
validation,46,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,-0.00021869915526764871
validation,47,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.005365355762211976
validation,47,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.007111652951335978
validation,47,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.002660239842914497
validation,47,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.00026536251119546606
validation,47,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.003555826475667989
validation,47,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,-0.00022029898722483732
validation,48,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.008527636752550749
validation,48,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.012140379514384847
validation,48,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.004017955046661026
validation,48,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.0010323580207667327
validation,48,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.004998979800040715
validation,48,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,0.00036663430080433046
validation,49,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.007035269636704311
validation,49,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.007181146960655416
validation,49,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.0032802481834210417
validation,49,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.0007297852972945051
validation,49,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.007788004450288266
validation,49,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,7.446362766674874e-05
validation,50,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.005228445381632363
validation,50,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.01179820992676972
validation,50,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.002942459482443621
validation,50,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,-0.00117903157706567
