other_subtype,rank,token,count
complexity+specificity+real_world,15,assistant,1
complexity+specificity+real_world,16,there,1
complexity+specificity+real_world,17,meetings,1
complexity+specificity+real_world,18,tonight,1
complexity+specificity+real_world,19,want,1
complexity+specificity+real_world,20,hand,1
complexity+specificity+real_world,21,deck,1
complexity+specificity+real_world,22,discuss,1
complexity+specificity+real_world,23,forwad,1
complexity+specificity+real_world,24,youth,1
complexity+specificity+real_world,25,fold,1
complexity+specificity+real_world,26,mail,1
complexity+specificity+real_world,27,friends,1
complexity+specificity+real_world,28,free,1
complexity+specificity+real_world,29,weekend,1
complexity+specificity+real_world,30,party,1
none,1,cases,2237
none,2,anon,2235
none,3,kalnes,2235
none,4,nii,1296
none,5,json,939
none,6,roi,328
none,7,one,190
none,8,i'm,180
none,9,blocked,174
none,10,there,149
none,11,que,145
none,12,hello,144
none,13,best,141
none,14,know,132
none,15,more,125
none,16,time,122
none,17,think,118
none,18,does,113
none,19,string,113
none,20,i've,112
none,21,life,111
none,22,what's,107
none,23,lmarena,106
none,24,don't,104
none,25,want,104
none,26,been,103
none,27,own,103
none,28,it's,101
none,29,day,100
none,30,com,100
real_world,1,vote,4
real_world,2,ile,1
real_world,3,kosztuj,1
real_world,4,przek,1
real_world,5,ski,1
real_world,6,poci,1
real_world,7,kandy,1
real_world,8,ella,1
real_world,9,pay,1
real_world,10,austria,1
real_world,11,bus,1
real_world,12,get,1
real_world,13,sandwhich,1
real_world,14,jaka,1
real_world,15,bedzie,1
real_world,16,pogoda,1
real_world,17,bkach,1
real_world,18,srody,1
real_world,19,niedzieli,1
real_world,20,start,1
real_world,21,voting,1
real_world,22,assemblers,1
real_world,23,change,1
real_world,24,pvc,1
real_world,25,wall,1
real_world,26,roof,1
real_world,27,tenthall,1
real_world,28,stockholm,1
real_world,29,area,1
real_world,30,able,1
specificity,1,user,26
specificity,2,epic,24
specificity,3,story,24
specificity,4,must,21
specificity,5,system,18
specificity,6,website,14
specificity,7,number,10
specificity,8,customers,10
specificity,9,word,8
specificity,10,translate,8
specificity,11,allow,8
specificity,12,owner,8
specificity,13,sentence,7
specificity,14,one,7
specificity,15,following,7
specificity,16,between,7
specificity,17,orders,7
specificity,18,order,7
specificity,19,answer,6
specificity,20,german,6
specificity,21,say,6
specificity,22,give,5
specificity,23,provide,5
specificity,24,data,5
specificity,25,english,5
specificity,26,jest,4
specificity,27,first,4
specificity,28,products,4
specificity,29,customer,4
specificity,30,only,4
specificity+real_world,1,translate,3
specificity+real_world,2,turkish,3
specificity+real_world,3,ios,3
specificity+real_world,4,writing,3
specificity+real_world,5,down,3
specificity+real_world,6,ideas,3
specificity+real_world,7,speak,3
